,PName,geometry,polygon,pname,Status,color
37,R1-11,"
								0.6062264329658507,41.60569387628373,196.6941970891559 0.6062692410890369,41.60566222425211,196.7685629896344 0.606287450525016,41.60567605939075,196.7675414607087 0.606244282466708,41.60570622326431,196.7162065227956 0.6062264329658507,41.60569387628373,196.6941970891559 
							","[[1484  295]
 [1488  309]
 [1332  319]
 [1330  306]]",R1-11,Free,green
38,R1-12,"
								0.6062469353326549,41.60570846499916,196.7087999061766 0.6062887974064624,41.60567739493531,196.7634455259314 0.6063072426983962,41.60569122005408,196.7550960150325 0.6062658777030272,41.60572227221513,196.7105215785462 0.6062469353326549,41.60570846499916,196.7087999061766 
							","[[1477  284]
 [1483  294]
 [1334  304]
 [1336  294]]",R1-12,Free,green
39,R1-13,"
								0.606266889176672,41.60572413186188,196.7103589675421 0.6063091315939961,41.60569282418795,196.7529713673348 0.6063278367816549,41.60570667308058,196.7829980392575 0.6062864609688989,41.60573790292241,196.7057312664319 0.606266889176672,41.60572413186188,196.7103589675421 
							","[[1476  273]
 [1479  282]
 [1336  292]
 [1339  282]]",R1-13,Free,green
40,R1-14,"
								0.6062874715273758,41.60573934723497,196.7057314192139 0.6063299809767564,41.60570805402327,196.7829980137938 0.6063481764171308,41.60572170828955,196.7468777736025 0.6063066160166097,41.60575285305932,196.7082546172196 0.6062874715273758,41.60573934723497,196.7057314192139 
							","[[1474  263]
 [1476  272]
 [1337  280]
 [1339  272]]",R1-14,Free,green
41,R1-15,"
								0.6063077587611687,41.6057548433191,196.7089407528151 0.6063499745914802,41.60572340902682,196.7443665392783 0.6063679484767603,41.60573707797666,196.7737487313423 0.6063266819555402,41.60576851173572,196.7364601047458 0.6063077587611687,41.6057548433191,196.7089407528151 
							","[[1472  255]
 [1476  263]
 [1337  270]
 [1337  260]]",R1-15,Free,green
42,R1-16,"
								0.6063279787703757,41.60576989726137,196.7428880548709 0.6063706549015846,41.60573889002248,196.7765031182625 0.6063891642455421,41.60575272829026,196.7829971395411 0.6063467992765692,41.6057835748001,196.7197269856777 0.6063279787703757,41.60576989726137,196.7428880548709 
							","[[1469  245]
 [1471  251]
 [1339  258]
 [1339  251]]",R1-16,Free,green
43,R1-17,"
								0.6063485165447369,41.60578570891314,196.7222736753347 0.60639172652585,41.60575400506404,196.7829971791513 0.6064096649768747,41.60576719879924,196.7830008558225 0.6063678119567051,41.60579881023429,196.7443618624507 0.6063485165447369,41.60578570891314,196.7222736753347 
							","[[1464  235]
 [1466  243]
 [1337  251]
 [1337  241]]",R1-17,Free,green
44,R1-18,"
								0.6063689859601795,41.60580076829927,196.7443619544029 0.6064117762951349,41.60576906920021,196.7829983886757 0.606429691764423,41.60578313100616,196.806917876339 0.6063875506956284,41.60581484303913,196.7569339361343 0.6063689859601795,41.60580076829927,196.7443619544029 
							","[[1464  228]
 [1466  235]
 [1344  240]
 [1344  231]]",R1-18,Free,green
45,R1-19,"
								0.6063896874637709,41.60581623032045,196.7534112027416 0.6064319626896109,41.6057846227716,196.8116693167446 0.6064502865343724,41.60579854405775,196.8216323840946 0.6064083774692941,41.60582997607811,196.7621428851492 0.6063896874637709,41.60581623032045,196.7534112027416 
							","[[1461  218]
 [1462  224]
 [1346  229]
 [1346  221]]",R1-19,Free,green
46,R1-20,"
								0.6064100889906587,41.6058314663487,196.764175355772 0.6064521339467555,41.60579992473568,196.8216301022667 0.6064705716940644,41.60581372662636,196.8369773850803 0.6064287567560323,41.60584518516428,196.7829984410176 0.6064100889906587,41.6058314663487,196.764175355772 
							","[[1455  209]
 [1459  216]
 [1344  221]
 [1344  216]]",R1-20,Free,green
